number,T,P,T_avg,P_avg,"Dens, g/cm^3","dDens, g/cm^3","V, A^3","L, A","D_F, cm^2/s","D_Li, cm^2/s","D_Na, cm^2/s","D_K, cm^2/s"
56,1000.0,0.0,1007.3032825548903,-83.73302506307382,1.9482883223552896,0.08344478101992005,990.7866059481039,9.96919388225639,2.83139916620523e-05,2.8917524769833353e-05,1.0859291310801111e-05,3.7233887085582604e-05
56,1000.0,0.0,1002.272899500998,-101.0018614471058,1.960735432734531,0.07392299778948817,984.0873674051896,9.946674030922393,4.805862213146881e-05,3.1531586348938546e-05,5.374399097166825e-05,2.9119884530092173e-05
56,1000.0,0.0,1000.1019091017964,-69.54180235928142,1.9517040051896206,0.08581814015433864,989.140055229541,9.963668345041233,3.561123513526684e-05,2.7748374812424224e-05,2.122704819025335e-05,2.0485777562727362e-05
56,1000.0,0.0,998.1896705189621,-39.97366690463073,1.960233862275449,0.07428068789403375,984.3330641516966,9.947501756241223,3.739992556506627e-05,3.3978723346486305e-05,3.61952394841435e-05,2.4521473171441066e-05
56,1000.0,0.0,1000.182798263473,-267.5890321497006,1.9494380173652694,0.07606238149307948,989.8799072654691,9.966151917547997,3.642406734762564e-05,3.568754938269368e-05,1.1354073730425358e-05,3.0118909469081244e-05
56,1000.0,0.0,999.545028762475,48.129188722355295,1.9568921055888222,0.09289157883236522,986.8923801596808,9.956115631802303,2.693611080307395e-05,3.378990959311368e-05,2.3712285723694612e-05,3.9120525574597994e-05
56,1000.0,0.0,999.2713901996009,190.5025557638723,1.9367233726546909,0.08253663863113771,996.6837141516966,9.988933471551452,3.1836965677675877e-05,4.5828579926448316e-05,3.5401941812593824e-05,4.1796820392487584e-05
56,1000.0,0.0,1005.1481427944112,25.84771782834333,1.9474612201596808,0.07867572965218265,990.9976985229541,9.969901829308379,3.460613043495464e-05,3.911475255753263e-05,1.6265351968914935e-05,4.3227586292136684e-05
56,1000.0,0.0,997.6101731137725,28.590022435329306,1.95125171497006,0.08568031093172015,989.3888321357285,9.964503590024657,3.772534450234783e-05,4.5009101837112326e-05,6.8722039073224e-05,4.1437720870714436e-05
56,1100.0,0.0,1095.444064730539,-233.34319994211572,1.881381772255489,0.08973834300337166,1026.4760282035927,10.087485818513882,4.7615167524694506e-05,5.5897493479055434e-05,1.558328282937176e-05,3.048668324210653e-05
56,1100.0,0.0,1104.8644353493014,1.3535131828343792,1.8820956728542917,0.09014454113804454,1026.0860145309382,10.08620806314244,6.36735673042668e-05,4.0540847612382586e-05,3.111389179638265e-05,6.689271357020559e-05
56,1100.0,0.0,1098.6911697405187,-49.998036025948075,1.896907940518962,0.08960594213019742,1018.0352642315369,10.059759713715826,5.361524603672299e-05,2.3120183501482603e-05,2.4911101726573545e-05,2.0907500383224854e-05
56,1100.0,0.0,1101.3077434331337,-63.116390017564925,1.8697470688622755,0.08845149396577853,1032.785167964072,10.108110884883644,5.3140208861423913e-05,5.4532877410397856e-05,5.099577377915226e-05,2.8640012221649067e-05
56,1100.0,0.0,1097.2918868862278,-40.29252125269458,1.8842368704590817,0.08270779217732484,1024.5469593413172,10.081162677615882,4.8819372923374894e-05,6.335195516010847e-05,2.3457579061003323e-05,4.869800073033451e-05
56,1100.0,0.0,1094.6122608782437,-155.35497979041912,1.8863075986027944,0.08420622369103467,1023.4991502794412,10.077724820994503,4.233946337692799e-05,4.0152508478172705e-05,3.117704439555786e-05,5.894709837262623e-05
56,1100.0,0.0,1093.7043446706587,-149.60931348762475,1.8758682301397205,0.08789342754367,1029.406613493014,10.097076608723444,7.085892846395819e-05,4.1095777772510695e-05,2.8362829015169918e-05,3.8606706154525726e-05
56,1100.0,0.0,1110.068070698603,39.720485277445185,1.880452513772455,0.09264066710717393,1027.1604253892215,10.089727245465745,6.45718901912899e-05,4.6808468423162844e-05,1.6675763150021172e-05,1.8327319821237824e-05
56,1100.0,0.0,1101.1951758283435,73.89556951497005,1.8866508441117766,0.09167243082249767,1023.6660713373253,10.078272645272172,5.576805254871661e-05,5.589044617065549e-05,2.6238225895170935e-05,2.7753303060880417e-05
56,1100.0,0.0,1097.7786530938124,122.45703464810376,1.883238410778443,0.09048179113684662,1025.469761776447,10.08418844744644,4.998853864976374e-05,3.8517437364273376e-05,3.7885689845912985e-05,3.853485821662045e-05
